parameter_pencemar_kritis,kategori,periode_data,bulan,tanggal,stasiun,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max,cluster,silhouette_value,skor_gabungan,kategori_risiko,pca1,pca2,tahun,periode
PM25,SEDANG,202301,1,1,DKI1 - Bunderan HI,44.0,55.0,47.0,10.0,24.0,9.0,55.0,2,0.20086236111862324,0.19310503148572322,Risiko Tinggi,0.10444268468744947,-0.05663910512413217,2023,2023-01-01
SO2,SEDANG,202301,1,2,DKI1 - Bunderan HI,32.0,43.0,52.0,9.0,24.0,8.0,52.0,2,0.19195241293596854,0.17941996815522274,Risiko Tinggi,0.15114907614669118,-0.10120656922602139,2023,2023-01-01
SO2,BAIK,202301,1,3,DKI1 - Bunderan HI,31.0,35.0,49.0,9.0,12.0,7.0,49.0,2,0.040510081364030726,0.15058933980030664,Risiko Tinggi,0.16380930521002615,-0.1839459821219645,2023,2023-01-01
SO2,SEDANG,202301,1,4,DKI1 - Bunderan HI,30.0,47.0,53.0,11.0,15.0,9.0,53.0,2,0.19416020822537644,0.1739258289083856,Risiko Tinggi,0.17743584782826552,-0.12847238895540852,2023,2023-01-01
PM25,BAIK,202301,1,5,DKI1 - Bunderan HI,38.0,50.0,50.0,13.0,26.0,11.0,50.0,2,0.23539204064625885,0.20109537558975987,Risiko Tinggi,0.11296242112965751,-0.04799445318870371,2023,2023-01-01
PM25,BAIK,202301,1,6,DKI1 - Bunderan HI,31.0,48.0,45.0,10.0,13.0,7.0,48.0,0,0.043503180549645706,0.15618541836382807,Risiko Rendah,0.1206726241831815,-0.1628567727801754,2023,2023-01-01
SO2,BAIK,202301,1,7,DKI1 - Bunderan HI,25.0,42.0,44.0,10.0,9.0,5.0,44.0,0,0.12723865799911968,0.1380616054328648,Risiko Rendah,0.12456070103141706,-0.2127052005875787,2023,2023-01-01
PM25,BAIK,202301,1,8,DKI1 - Bunderan HI,28.0,49.0,47.0,11.0,9.0,4.0,49.0,2,-0.013299331000219745,0.1511683221499199,Risiko Tinggi,0.14311475877297433,-0.17910708457003244,2023,2023-01-01
SO2,BAIK,202301,1,9,DKI1 - Bunderan HI,25.0,39.0,48.0,10.0,12.0,5.0,48.0,2,-0.014689626485912228,0.14679753799337256,Risiko Tinggi,0.14921076907770978,-0.19229843817111658,2023,2023-01-01
SO2,BAIK,202301,1,10,DKI1 - Bunderan HI,37.0,44.0,45.0,11.0,21.0,8.0,45.0,2,0.02330838889829388,0.1742534135786384,Risiko Tinggi,0.09489484853748353,-0.11100083222429341,2023,2023-01-01
